id,Grouper,List_A,Meaning,created_at,updated_at,,,,,,,,,,,,,,,,,,,,
,H SPEED,1,Ahead,NULL,NULL,,,,,,,,,,,,,,,,,,,,
,H SPEED,2,Astern,NULL,NULL,,,,,,,,,,,,,,,,,,,,
,P SPEED,1,Maximum,,,,,,,,,,,,,,,,,,,,,,
,P SPEED,2,Optimum,,,,,,,,,,,,,,,,,,,,,,
,SCREEN P,1,Left,,,,,,,,,,,,,,,,,,,,,,
,SCREEN P,2,Right,,,,,,,,,,,,,,,,,,,,,,
,SCREEN P,3,Both,,,,,,,,,,,,,,,,,,,,,,
,SCREEN Q,1,Inner,,,,,,,,,,,,,,,,,,,,,,
,SCREEN Q,2,Outer,,,,,,,,,,,,,,,,,,,,,,
,SCREEN Q,3,Inner and Outer,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,1,Good,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,2,Weak,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,3,Fading,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,4,Garbled,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,5,Intermittent,,,,,,,,,,,,,,,,,,,,,,
,FLAG 1N,6,No,,,,,,,,,,,,,,,,,,,,,,
,AK64,1,Indicate her position,,,,,,,,,,,,,,,,,,,,,,
,AK64,2,Remain at safe depth,,,,,,,,,,,,,,,,,,,,,,
,AK64,3,Surface,,,,,,,,,,,,,,,,,,,,,,
,AP13,1,Heavily,,,,,,,,,,,,,,,,,,,,,,
,AP13,2,Lightly,,,,,,,,,,,,,,,,,,,,,,
,AP13,3,Moderately,,,,,,,,,,,,,,,,,,,,,,
,KS8,1,Propeller,,,,,,,,,,,,,,,,,,,,,,
,KS8,2,Sonar dome,,,,,,,,,,,,,,,,,,,,,,
,KS8,3,Aerial,,,,,,,,,,,,,,,,,,,,,,
,KS8,4,Log,,,,,,,,,,,,,,,,,,,,,,
,KS8,5,Stabilizing fin,,,,,,,,,,,,,,,,,,,,,,
,KS8,6,Rudder,,,,,,,,,,,,,,,,,,,,,,
,MU8,1,Aircraft,,,,,,,,,,,,,,,,,,,,,,
,MU8,2,Submarines,,,,,,,,,,,,,,,,,,,,,,
,MU8,3,Surface craft,,,,,,,,,,,,,,,,,,,,,,
,MU12,1,Bearing Free_Text_Tack_1 ( Free_Text_Tack_2 miles),,,,,,,,,,,,,,,,,,,,,,
,MU12,2,Geographical,,,,,,,,,,,,,,,,,,,,,,
,MU34,1,RED,,,,,,,,,,,,,,,,,,,,,,
,MU34,2,YELLOW,,,,,,,,,,,,,,,,,,,,,,
,MU34,3,WHITE,,,,,,,,,,,,,,,,,,,,,,
,NB18,1,Possible,,,,,,,,,,,,,,,,,,,,,,
